CCLE.sampleid	CCLE.name	CCLE.depMapID	CCLE.site_Primary	CCLE.site_Subtype1	CCLE.site_Subtype2	CCLE.site_Subtype3	CCLE.histology	CCLE.histology_Subtype1	CCLE.histology_Subtype2	CCLE.histology_Subtype3	CCLE.gender	CCLE.age	CCLE.race	CCLE.disease	CCLE.type
SNU668_STOMACH	SNU-668	ACH-000344	stomach	NS	NS	NS	carcinoma	signet_ring_adenocarcinoma	NS	NS	male	63	asian		stomach
CORL279_LUNG	COR-L279	ACH-000257	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	63			lung_small_cell
GB1_CENTRAL_NERVOUS_SYSTEM	GB-1	ACH-000738	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	35			glioma
KURAMOCHI_OVARY	KURAMOCHI	ACH-000524	ovary	NS	NS	NS	carcinoma	undifferentiated_carcinoma	NS	NS	female		asian		ovary
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO 775	ACH-001043	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	chronic_myeloid_leukaemia	NS	NS	female	57			CML
COLO684_ENDOMETRIUM	COLO 684	ACH-000864	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	63			endometrium
KLM1_PANCREAS	KLM-1	ACH-001101	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS					pancreas
GRM_SKIN	GR-M	ACH-001072	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male	36	caucasian		melanoma
SNU685_ENDOMETRIUM	SNU-685	ACH-000407	endometrium	NS	NS	NS	carcinoma	carcinosarcoma-malignant_mesodermal_mixed_tumour	NS	NS	female	70	asian		endometrium
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK-86	ACH-001037	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	NS	NS					AML
SNU886_LIVER	SNU-886	ACH-000316	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	57	asian		liver
HCT8_LARGE_INTESTINE	HCT-8	ACH-001084	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	67		colon_cancer	colorectal
NCCSTCK140_STOMACH	NCC-StC-K140	ACH-000110	stomach	NS	NS	NS	carcinoma	NS	NS	NS	female	36			stomach
NCIH3255_LUNG	NCI-H3255	ACH-000109	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS					lung_NSC
SNU719_STOMACH	SNU-719	ACH-000898	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male	53	asian		stomach
SNU489_CENTRAL_NERVOUS_SYSTEM	SNU-489	ACH-000543	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	54	asian		glioma
SNU81_LARGE_INTESTINE	SNU-81	ACH-000991	large_intestine	colon	NS	NS	carcinoma	NS	NS	NS	male	53	asian		colorectal
A2058_SKIN	A2058	ACH-000788	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male	43	caucasian	melanoma	melanoma
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HTK-	ACH-001094	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS					multiple_myeloma
SNU1040_LARGE_INTESTINE	SNU-1040	ACH-000999	large_intestine	colon	NS	NS	carcinoma	NS	NS	NS	male	34	asian		colorectal
SNU1076_UPPER_AERODIGESTIVE_TRACT	SNU-1076	ACH-000549	upper_aerodigestive_tract	larynx	subglottis	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	60	asian		upper_aerodigestive
SNU175_LARGE_INTESTINE	SNU-175	ACH-000989	large_intestine	colon	NS	NS	carcinoma	NS	NS	NS	female	56	asian		colorectal
SNU407_LARGE_INTESTINE	SNU-407	ACH-000955	large_intestine	colon	NS	NS	carcinoma	NS	NS	NS	male	37	asian		colorectal
SNU201_CENTRAL_NERVOUS_SYSTEM	SNU-201	ACH-000623	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	58	asian		glioma
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-20	ACH-000426	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	female	65	asian	multiple_myeloma	multiple_myeloma
SNU216_STOMACH	SNU-216	ACH-000466	stomach	NS	NS	NS	carcinoma	NS	NS	NS	female	46	asian		stomach
SNU1196_BILIARY_TRACT	SNU-1196	ACH-000461	biliary_tract	bile_duct	NS	NS	carcinoma	NS	NS	NS					bile_duct
SNU1079_BILIARY_TRACT	SNU-1079	ACH-000209	biliary_tract	bile_duct	NS	NS	carcinoma	NS	NS	NS					bile_duct
HCC1195_LUNG	HCC-1195	ACH-000868	lung	NS	NS	NS	carcinoma	mixed_adenosquamous_carcinoma	NS	NS	male	47	african_american	lung_cancer	lung_NSC
NCIH854_LUNG	NCI-H854	ACH-000710	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS					lung_NSC
SNU466_CENTRAL_NERVOUS_SYSTEM	SNU-466	ACH-000289	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	61	asian		glioma
YD38_UPPER_AERODIGESTIVE_TRACT	YD-38	ACH-000762	upper_aerodigestive_tract	mouth	gingiva	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	67	asian		upper_aerodigestive
SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU-1105	ACH-000368	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	61	asian		glioma
SNU283_LARGE_INTESTINE	SNU-283	ACH-000708	large_intestine	colon	NS	NS	carcinoma	NS	NS	NS	female	62	asian		colorectal
SNU46_UPPER_AERODIGESTIVE_TRACT	SNU-46	ACH-000500	upper_aerodigestive_tract	larynx	supraglottis	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	66	asian		upper_aerodigestive
SNU308_BILIARY_TRACT	SNU-308	ACH-000141	biliary_tract	bile_duct	NS	NS	carcinoma	NS	NS	NS					bile_duct
YD8_UPPER_AERODIGESTIVE_TRACT	YD-8	ACH-000630	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	female	46	asian		upper_aerodigestive
SNU245_BILIARY_TRACT	SNU-245	ACH-000268	biliary_tract	bile_duct	NS	NS	carcinoma	NS	NS	NS					bile_duct
SNU478_BILIARY_TRACT	SNU-478	ACH-000377	biliary_tract	bile_duct	NS	NS	carcinoma	NS	NS	NS					bile_duct
SNU410_PANCREAS	SNU-410	ACH-000517	pancreas	NS	NS	NS	carcinoma	NS	NS	NS	male	53	asian		pancreas
SNU899_UPPER_AERODIGESTIVE_TRACT	SNU-899	ACH-000692	upper_aerodigestive_tract	larynx	glottis	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	56	asian		upper_aerodigestive
SNU503_LARGE_INTESTINE	SNU-503	ACH-000683	large_intestine	colon	NS	NS	carcinoma	NS	NS	NS	male	52	asian		colorectal
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Set-2	ACH-000195	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	essential_thrombocythaemia	NS	NS	female	71			leukemia_other
SNU738_CENTRAL_NERVOUS_SYSTEM	SNU-738	ACH-000807	central_nervous_system	brain	NS	NS	glioma	oligodendroglioma	NS	NS	male	40	asian		glioma
SNU626_CENTRAL_NERVOUS_SYSTEM	SNU-626	ACH-000370	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	65	asian		glioma
SNU869_BILIARY_TRACT	SNU-869	ACH-000182	biliary_tract	bile_duct	NS	NS	carcinoma	NS	NS	NS					bile_duct
SNU878_LIVER	SNU-878	ACH-000686	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	female	54	asian		liver
SNU840_OVARY	SNU-840	ACH-000280	ovary	NS	NS	NS	carcinoma	Brenner_tumour	NS	NS	female	45	asian		ovary
SNU8_OVARY	SNU-8	ACH-000460	ovary	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	55	asian		ovary
NCIH684_LIVER	NCI-H684	ACH-000089	liver	NS	NS	NS	other	hepatoblastoma	NS	NS		55			liver
IGR39_SKIN	IGR-39	ACH-000550	skin	upper_leg	NS	NS	malignant_melanoma	NS	NS	NS	male	26		Skin Cancer	melanoma
DAOY_CENTRAL_NERVOUS_SYSTEM	Daoy	ACH-000211	central_nervous_system	brain	NS	NS	primitive_neuroectodermal_tumour-medulloblastoma	NS	NS	NS	male	4	caucasian		medulloblastoma
HEP3B217_LIVER	Hep 3B2.1-7	ACH-000625	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	8	african_american	hepatocellular_cancer	liver
KYM1_SOFT_TISSUE	KYM-1	ACH-000607	soft_tissue	striated_muscle	NS	NS	rhabdomyosarcoma	NS	NS	NS		1	asian		soft_tissue
LC1F_LUNG	LC-1F	ACH-000705	lung	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	69	asian	lung_cancer	lung_NSC
HLE_LIVER	HLE	ACH-001089	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	68	asian		liver
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK	ACH-000641	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M7	NS	male	0.8333		Down syndrome; acute megakaryoblastic leukaemia	AML
JMSU1_URINARY_TRACT	JMSU-1	ACH-000753	urinary_tract	bladder	NS	NS	carcinoma	NS	NS	NS	male	75			urinary_tract
IMR32_AUTONOMIC_GANGLIA	IMR-32	ACH-000310	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS	male	1	caucasian	neuroblastoma	neuroblastoma
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SU-DHL-8	ACH-000656	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	male	59			lymphoma_DLBCL
T3M4_PANCREAS	T3M-4	ACH-000085	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male	64	asian		pancreas
COLO818_SKIN	COLO-818	ACH-001044	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS					melanoma
PK45H_PANCREAS	PK-45H	ACH-000468	pancreas	NS	NS	NS	carcinoma	NS	NS	NS					pancreas
HEC59_ENDOMETRIUM	HEC-59	ACH-000994	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		asian		endometrium
CPCN_LUNG	CPC-N	ACH-001049	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS					lung_small_cell
T3M10_LUNG	T3M-10	ACH-000813	lung	NS	NS	NS	carcinoma	large_cell_carcinoma	NS	NS	male	40	asian		lung_NSC
NUGC2_STOMACH	NUGC-2	ACH-000761	stomach	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	56			stomach
PLCPRF5_LIVER	PLC/PRF/5	ACH-001318	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	24			liver
KPNYN_AUTONOMIC_GANGLIA	KP-N-YN	ACH-000227	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS	male	2		neuroblastoma	neuroblastoma
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCF-STTG1	ACH-000329	central_nervous_system	brain	NS	NS	glioma	astrocytoma	NS	NS	female	68	caucasian	brain_cancer	glioma
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCI-H929	ACH-000050	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	female	62	caucasian	multiple_myeloma	multiple_myeloma
KMRC3_KIDNEY	KMRC-3	ACH-000313	kidney	NS	NS	NS	carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	male		asian		kidney
NCIH2023_LUNG	NCI-H2023	ACH-000781	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	26	caucasian		lung_NSC
DMS153_LUNG	DMS 153	ACH-000594	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	44	caucasian		lung_small_cell
NCIH1048_LUNG	NCI-H1048	ACH-000866	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female				lung_small_cell
D341MED_CENTRAL_NERVOUS_SYSTEM	D341 Med	ACH-000095	central_nervous_system	cerebellum	NS	NS	primitive_neuroectodermal_tumour-medulloblastoma	NS	NS	NS	male	3.5		medulloblastoma	medulloblastoma
NCIH660_PROSTATE	NCI-H660	ACH-000177	prostate	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	63	caucasian	small_cell_carcinoma	prostate
NCIH1618_LUNG	NCI-H1618	ACH-000179	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female	55	caucasian		lung_small_cell
HS675T_FIBROBLAST	Hs 675.T	ACH-000214	large_intestine	colon	NS	NS	carcinoma	NS	NS	NS	male		caucasian		colorectal
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PEER	ACH-000519	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	NS	NS	female	4		T-ALL	T-cell_ALL
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM-1	ACH-000373	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	male	76	asian		AML
HT144_SKIN	HT-144	ACH-000322	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male	29	caucasian		melanoma
SKMEL31_SKIN	SK-MEL-31	ACH-000640	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	female			malignant_melanoma	melanoma
HS839T_FIBROBLAST	Hs 839.T	ACH-000180	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	female	42	caucasian		melanoma
HS939T_SKIN	Hs 939.T	ACH-000814	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	female	24	caucasian		melanoma
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-LY3	ACH-000158	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	NS	NS					lymphoma_DLBCL
HS819T_FIBROBLAST	Hs 819.T	ACH-000224	bone	NS	NS	NS	chondrosarcoma	NS	NS	NS	male	60	caucasian		chondrosarcoma
NCIH69_LUNG	NCI-H69	ACH-000358	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	55	caucasian	papillary_adenocarcinoma	lung_small_cell
DV90_LUNG	DV-90	ACH-000925	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	50		lung_cancer	lung_NSC
ZR751_BREAST	ZR-75-1	ACH-000097	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	63	caucasian	breast_cancer	breast
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG-1	ACH-000386	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M6	NS	male	59	caucasian		AML
SKNBE2_AUTONOMIC_GANGLIA	SK-N-BE(2)	ACH-000312	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS	male	2.166666667		neuroblastoma	neuroblastoma
HCC70_BREAST	HCC70	ACH-000668	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	49	african_american	breast_cancer	breast
NCIH2452_PLEURA	NCI-H2452	ACH-000092	pleura	NS	NS	NS	mesothelioma	NS	NS	NS	male				mesothelioma
SNU1_STOMACH	SNU-1	ACH-000932	stomach	NS	NS	NS	carcinoma	undifferentiated_adenocarcinoma	NS	NS	male	44	asian	poorly_differentiated_gastric carcinoma	stomach
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Loucy	ACH-000104	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	NS	NS	female	38	caucasian		T-cell_ALL
HCC56_LARGE_INTESTINE	HCC-56	ACH-000467	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS					colorectal
NCIH1648_LUNG	NCI-H1648	ACH-000766	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	39	african_american	lung_cancer	lung_NSC
TO175T_FIBROBLAST	TO 175.T	ACH-000125	haematopoietic_and_lymphoid_tissue	lymph_node	NS	NS	lymphoid_neoplasm	Hodgkin_lymphoma	NS	NS	male	29	caucasian		lymphoma_Hodgkin
GLC82_LUNG	GLC-82	ACH-001071	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	58	asian		lung_NSC
MPP89_PLEURA	MPP 89	ACH-000319	pleura	NS	NS	NS	mesothelioma	NS	NS	NS	male	67			mesothelioma
PANC0813_PANCREAS	Panc 08.13	ACH-000417	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male	85	caucasian		pancreas
MG63_BONE	MG-63	ACH-000359	bone	NS	NS	NS	osteosarcoma	NS	NS	NS	male	14	caucasian		osteosarcoma
PK1_PANCREAS	PK-1	ACH-000307	pancreas	NS	NS	NS	carcinoma	NS	NS	NS					pancreas
HS840T_FIBROBLAST	Hs 840.T	ACH-000284	upper_aerodigestive_tract	pharynx	NS	NS	other	papilloma	NS	NS	male	7	caucasian		upper_aerodigestive
NCIH23_LUNG	NCI-H23	ACH-000900	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	male	51	african_american	non_small_cell_lung_cancer	lung_NSC
TE617T_SOFT_TISSUE	TE 617.T	ACH-000051	soft_tissue	striated_muscle	NS	NS	rhabdomyosarcoma	NS	NS	NS	female	1.67	caucasian		soft_tissue
SW1088_CENTRAL_NERVOUS_SYSTEM	SW 1088	ACH-000437	central_nervous_system	brain	NS	NS	glioma	NS	NS	NS	male	72	caucasian	brain_cancer	glioma
ISTMES2_PLEURA	IST-MES2	ACH-000331	pleura	NS	NS	NS	mesothelioma	NS	NS	NS	male	71	caucasian		mesothelioma
NCIH1373_LUNG	NCI-H1373	ACH-000845	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	56	african_american		lung_NSC
NCIH1930_LUNG	NCI-H1930	ACH-000870	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	41	caucasian		lung_small_cell
NCIH1623_LUNG	NCI-H1623	ACH-000744	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	58	caucasian		lung_NSC
HS229T_FIBROBLAST	Hs 229.T	ACH-000131	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	65	caucasian		lung_NSC
NCIH1838_LUNG	NCI-H1838	ACH-000733	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	female				lung_NSC
NCIH1836_LUNG	NCI-H1836	ACH-000559	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	52	caucasian		lung_small_cell
HS688AT_FIBROBLAST	Hs 688(A).T	ACH-000306	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male	69	caucasian		melanoma
PANC0504_PANCREAS	Panc 05.04	ACH-000093	pancreas	NS	NS	NS	carcinoma	NS	NS	NS	female	77	caucasian		pancreas
HS822T_FIBROBLAST	Hs 822.T	ACH-000229	bone	NS	NS	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	NS	NS	female	9	caucasian		Ewings_Sarcoma
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-70	ACH-000402	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	male	16	caucasian		lymphoma_Burkitt
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CI-1	ACH-000687	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	B_cell_lymphoma_unspecified	NS	NS	female	38			lymphoma_other
G292CLONEA141B1_BONE	G-292, clone A141B1	ACH-000082	bone	NS	NS	NS	osteosarcoma	NS	NS	NS	female	9	caucasian		osteosarcoma
RCM1_LARGE_INTESTINE	RCM-1	ACH-000565	large_intestine	rectum	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	73		rectum; adenocarcinoma; well differentiated	colorectal
HS737T_FIBROBLAST	Hs 737.T	ACH-000185	bone	NS	NS	NS	giant_cell_tumour	NS	NS	NS	female	10	caucasian		giant_cell_tumour
HS616T_FIBROBLAST	Hs 616.T	ACH-000063	haematopoietic_and_lymphoid_tissue	lymph_node	NS	NS	lymphoid_neoplasm	Hodgkin_lymphoma	NS	NS	male	16	caucasian		lymphoma_Hodgkin
HS600T_FIBROBLAST	Hs 600.T	ACH-000240	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS					melanoma
TE159T_FIBROBLAST	TE 159.T	ACH-000175	soft_tissue	striated_muscle	NS	NS	rhabdomyosarcoma	NS	NS	NS	male	6	caucasian	rhabdomyosarcoma	soft_tissue
A101D_SKIN	A101D	ACH-000008	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male	56	caucasian		melanoma
NCIH1755_LUNG	NCI-H1755	ACH-000282	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	65	caucasian		lung_NSC
143B_BONE	143B	ACH-001001	bone	NS	NS	NS	osteosarcoma	NS	NS	NS	female	13	caucasian		osteosarcoma
RERFLCKJ_LUNG	RERF-LC-KJ	ACH-000482	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	male	78		lung_cancer	lung_NSC
NCIH1693_LUNG	NCI-H1693	ACH-000021	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	55	caucasian		lung_NSC
SW780_URINARY_TRACT	SW 780	ACH-000384	urinary_tract	bladder	NS	NS	carcinoma	transitional_cell_carcinoma	NS	NS	female	80	caucasian		urinary_tract
HS683_CENTRAL_NERVOUS_SYSTEM	Hs 683	ACH-000067	central_nervous_system	brain	NS	NS	glioma	NS	NS	NS	male	76	caucasian		glioma
RKO_LARGE_INTESTINE	RKO	ACH-000943	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS					colorectal
HS729_SOFT_TISSUE	Hs 729	ACH-000133	soft_tissue	striated_muscle	NS	NS	rhabdomyosarcoma	NS	NS	NS	male	74	caucasian	rhabdomyosarcoma	soft_tissue
JHOS2_OVARY	JHOS-2	ACH-000132	ovary	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	45	asian		ovary
MCF7_BREAST	MCF7	ACH-000019	breast	NS	NS	NS	carcinoma	NS	NS	NS	female	69	caucasian	breast_cancer	breast
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U-937	ACH-000406	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	male	37	caucasian	histiocytic_lymphoma	lymphoma_DLBCL
SKLMS1_SOFT_TISSUE	SK-LMS-1	ACH-000145	soft_tissue	fibrous_tissue_and_uncertain_origin	vulva	NS	sarcoma	NS	NS	NS	female	43	caucasian		soft_tissue
HUTU80_SMALL_INTESTINE	HuTu 80	ACH-000538	small_intestine	duodenum	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	53	caucasian		other
HCC202_BREAST	HCC202	ACH-000725	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	82	caucasian	ductal_carcinoma	breast
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEG-01	ACH-000072	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia	NS	NS	male	55			CML
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Reh	ACH-000960	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	NS	NS	female	15	north_african		B-cell_ALL
ONS76_CENTRAL_NERVOUS_SYSTEM	ONS-76	ACH-000776	central_nervous_system	brain	NS	NS	primitive_neuroectodermal_tumour-medulloblastoma	NS	NS	NS	female	2			medulloblastoma
RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI 6666	ACH-001182	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoblastoid	B_cell	NS	NS					lymphoma_Hodgkin
SNUC1_LARGE_INTESTINE	SNU-C1	ACH-000722	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	71	asian		colorectal
SKNDZ_AUTONOMIC_GANGLIA	SK-N-DZ	ACH-000366	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS	female	2	caucasian	neuroblastoma	neuroblastoma
DMS114_LUNG	DMS 114	ACH-000530	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	68	caucasian	lung_cancer	lung_small_cell
TT_OESOPHAGUS		ACH-000561													esophagus
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-LY10	ACH-001146	haematopoietic_and_lymphoid_tissue	lymph_node	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	NS	NS					lymphoma_DLBCL
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ST486	ACH-000567	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	female				lymphoma_Burkitt
OC315_OVARY	OC 315	ACH-001144	ovary	NS	NS	NS	carcinoma	serous_carcinoma	NS	NS	female	49			ovary
OC314_OVARY	OC 314	ACH-000962	ovary	NS	NS	NS	carcinoma	serous_carcinoma	NS	NS	female	39			ovary
SW1353_BONE	SW 1353	ACH-000418	bone	humerus	NS	NS	chondrosarcoma	NS	NS	NS	female	72	caucasian		chondrosarcoma
MDAMB157_BREAST	MDA-MB-157	ACH-000621	breast	NS	NS	NS	carcinoma	ductal_carcinoma	medullary	NS	female	44	african_american	breast_cancer	breast
LN18_CENTRAL_NERVOUS_SYSTEM	LN-18	ACH-000819	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	65	caucasian		glioma
769P_KIDNEY	769-P	ACH-000411	kidney	NS	NS	NS	carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	female	63	caucasian	kidney_cancer	kidney
786O_KIDNEY	786-O	ACH-000649	kidney	NS	NS	NS	carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	male	58	caucasian	kidney_cancer	kidney
CAOV3_OVARY	Caov-3	ACH-000713	ovary	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	54	caucasian		ovary
HEPG2_LIVER	Hep G2	ACH-000739	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	15	caucasian	liver_cancer	liver
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT-4	ACH-001127	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	NS	NS	male	19		leukaemia	T-cell_ALL
NCIH524_LUNG	NCI-H524	ACH-000816	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	63	caucasian		lung_small_cell
