CCLE.sampleid	CCLE.name	CCLE.depMapID	CCLE.site_Primary	CCLE.site_Subtype1	CCLE.site_Subtype2	CCLE.site_Subtype3	CCLE.histology	CCLE.histology_Subtype1	CCLE.histology_Subtype2	CCLE.histology_Subtype3	CCLE.gender	CCLE.age	CCLE.race	CCLE.disease	CCLE.type
KNS60_CENTRAL_NERVOUS_SYSTEM	KNS-60	ACH-000445	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	55			glioma
KNS81_CENTRAL_NERVOUS_SYSTEM	KNS-81	ACH-000479	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	65			glioma
KPNSI9S_AUTONOMIC_GANGLIA	KP-N-SI9s	ACH-000446	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS					neuroblastoma
LU99_LUNG	LU99	ACH-000444	lung	NS	NS	NS	carcinoma	large_cell_carcinoma	NS	NS	male	63	asian		lung_NSC
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-34	ACH-000541	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	female	60	asian	multiple_myeloma	multiple_myeloma
MKN1_STOMACH	MKN1	ACH-000351	stomach	NS	NS	NS	carcinoma	mixed_adenosquamous_carcinoma	NS	NS	male	72	asian		stomach
MKN74_STOMACH	MKN74	ACH-000758	stomach	NS	NS	NS	carcinoma	tubular_adenocarcinoma	NS	NS	male	37	asian	gastric_cancer	stomach
KP3_PANCREAS	KP-3	ACH-000108	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male	75	asian		pancreas
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCO2	ACH-000076	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	chronic_myeloid_leukaemia	NS	NS	female	35			CML
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KHM-1B	ACH-000564	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	male	53			multiple_myeloma
HSC2_UPPER_AERODIGESTIVE_TRACT	HSC-2	ACH-000472	upper_aerodigestive_tract	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	69			upper_aerodigestive
KG1C_CENTRAL_NERVOUS_SYSTEM	KG-1-C	ACH-000126	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	13			glioma
HUH7_LIVER	HuH-7	ACH-000480	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	57	asian		liver
KMBC2_URINARY_TRACT	KMBC-2	ACH-000862	urinary_tract	bladder	NS	NS	carcinoma	NS	NS	NS					urinary_tract
KMRC20_KIDNEY	KMRC-20	ACH-000250	kidney	NS	NS	NS	carcinoma	renal_cell_carcinoma	NS	NS					kidney
HUCCT1_BILIARY_TRACT	HuCCT1	ACH-000976	biliary_tract	bile_duct	NS	NS	carcinoma	NS	NS	NS	male		asian		bile_duct
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Ki-JK	ACH-000773	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	anaplastic_large_cell_lymphoma	NS	NS	male	15			lymphoma_other
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4/Fuk	ACH-000157	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	female	52	asian		lymphoma_DLBCL
KALS1_CENTRAL_NERVOUS_SYSTEM	KALS-1	ACH-000231	central_nervous_system	brain	NS	NS	glioma	NS	NS	NS	female				glioma
HEC108_ENDOMETRIUM	HEC-108	ACH-000990	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		asian		endometrium
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL 92.1.7	ACH-000005	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M6	NS	male	30	caucasian	erythroleukemia	AML
HUH28_BILIARY_TRACT	HuH28	ACH-000808	biliary_tract	bile_duct	NS	NS	carcinoma	NS	NS	NS			asian		bile_duct
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK-11-5	ACH-001036	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M7	NS					AML
HEC265_ENDOMETRIUM	HEC-265	ACH-000946	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		asian		endometrium
CAL12T_LUNG	CAL-12T	ACH-000826	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	male				lung_NSC
